id,topic,question_en,question_zh,options_en,options_zh,answer_index
1,Set A - Ch1 Values,Which of the following is NOT one of the fundamental principles of British life listed in the handbook?,以下哪一項不是手冊列出的英國生活基本原則？,Democracy | The rule of law | One-party rule | Individual liberty,民主 | 法治 | 一黨專政 | 個人自由,2
2,Set A - Ch1 Values,What do new citizens pledge to uphold during the citizenship ceremony?,新公民在入籍儀式上承諾維護的是什麼？,Religious law | The values and laws of the UK | The values of their country of birth | The policies of the current government,宗教法律 | 英國的價值與法律 | 出生國的價值 | 當前政府政策,1
3,Set A - Ch1 Values,Which of these is a responsibility expected of all UK residents?,以下哪項是所有英國居民應承擔的責任？,Disobey laws you disagree with | Respect the rights of others | Join a political party | Serve in the armed forces,不認同的法律可不遵守 | 尊重他人權利 | 必須加入政黨 | 必須服兵役,1
4,Set A - Ch1 Values,Which freedom is offered in the UK?,英國保障哪項自由？,Freedom from taxation | Freedom of belief and religion | Freedom to ignore jury summons | Freedom to carry firearms without licence,免稅自由 | 信仰與宗教自由 | 可忽視陪審團傳票 | 無需許可攜帶槍械的自由,1
5,Set A - Ch1 Values,The Life in the UK test normally contains how many questions?,《英國生活》考試通常有多少題？,12 | 18 | 24 | 36,12 | 18 | 24 | 36,2
6,Set A - Ch1 Values,"Which languages can the Life in the UK test be taken in by special arrangement, besides English?",除英語外，《英國生活》考試可在特別安排下使用哪些語言？,Welsh or Scottish Gaelic | Irish or Cornish | French or German | Punjabi or Urdu,威爾士語或蘇格蘭蓋爾語 | 愛爾蘭語或康沃爾語 | 法語或德語 | 旁遮普語或烏爾都語,0
7,Set A - Ch1 Values,Which website is used to book the Life in the UK test?,預訂《英國生活》考試應使用哪個網站？,lifeintheuktest.gov.uk | ukba.homeoffice.gov.uk | parliament.uk | nhs.uk,lifeintheuktest.gov.uk | ukba.homeoffice.gov.uk | parliament.uk | nhs.uk,0
8,Set A - Ch2 UK,Which of the following correctly describes the UK?,以下哪一項正確描述了英國？,"England, Scotland, Wales and the Republic of Ireland | England, Scotland, Wales and Northern Ireland | Great Britain and the Channel Islands only | Britain and the British Isles are the same as the UK",英格蘭、蘇格蘭、威爾士和愛爾蘭共和國 | 英格蘭、蘇格蘭、威爾士和北愛爾蘭 | 只包括大不列顛與海峽群島 | 不列顛與不列顛群島等於英國,1
9,Set A - Ch2 UK,What are the Channel Islands and the Isle of Man collectively called?,海峽群島和曼島合稱為什麼？,Overseas territories | Crown dependencies | UK counties | British Isles,海外領地 | 王室屬地（皇冠附屬地） | 英國郡 | 不列顛群島,1
10,Set A - Ch2 UK,Which parts of the UK have devolved parliaments or assemblies?,英國哪些部分擁有權力下放的議會或議會機構？,"England only | Scotland, Wales and Northern Ireland | Scotland only | Wales and England",僅英格蘭 | 蘇格蘭、威爾士和北愛爾蘭 | 僅蘇格蘭 | 威爾士與英格蘭,1
11,Set A - Ch3 History,Which document first limited the English king’s power and asserted the rule of law?,哪份文件首次限制英格蘭國王的權力並確立法治？,Bill of Rights (1689) | Magna Carta (1215) | Act of Union (1707) | Petition of Right (1628),《權利法案》（1689） | 《大憲章》（1215） | 《聯合法案》（1707） | 《權利請願書》（1628）,1
12,Set A - Ch3 History,The Battle of Bannockburn (1314) secured independence for which nation from English conquest?,班諾克本戰役（1314）使哪個民族免於英格蘭征服而保持獨立？,Wales | Ireland | Scotland | Cornwall,威爾士 | 愛爾蘭 | 蘇格蘭 | 康沃爾,2
13,Set A - Ch3 History,Which war between England and France lasted 116 years?,英法之間哪場戰爭持續了116年？,The Hundred Years War | The Thirty Years War | The Seven Years War | The War of the Roses,百年戰爭 | 三十年戰爭 | 七年戰爭 | 玫瑰戰爭,0
14,Set A - Ch3 History,What catastrophic disease killed about one third of England’s population in the 14th century?,14世紀導致英格蘭約三分之一人口死亡的災難性疾病是？,Smallpox | Black Death (plague) | Cholera | Typhus,天花 | 黑死病（瘟疫） | 霍亂 | 斑疹傷寒,1
15,Set A - Ch3 History,Which event united the Houses of Lancaster and York?,哪一事件促成蘭開斯特與約克兩家合一？,Act of Union 1707 | Marriage of Henry VII and Elizabeth of York | Magna Carta | Glorious Revolution,1707年《聯合法案》 | 亨利七世與約克的伊麗莎白之婚 | 《大憲章》 | 光榮革命,1
16,Set A - Ch3 History,Which 1689 law confirmed Parliament’s rights and limited the monarch’s powers?,哪一部1689年的法律確認了議會的權利並限制君主權力？,Bill of Rights | Habeas Corpus Act | Reform Act | Parliament Act,《權利法案》 | 《人身保護法》 | 《改革法案》 | 《議會法》,0
17,Set A - Ch3 History,Who is associated with steam power improvements that helped drive the Industrial Revolution?,誰與改良蒸汽動力有關，推動了工業革命？,James Watt | Isaac Newton | Michael Faraday | Robert Boyle,詹姆斯·瓦特 | 艾薩克·牛頓 | 邁克爾·法拉第 | 羅伯特·波以耳,0
18,Set A - Ch3 History,Where can Admiral Nelson’s flagship HMS Victory be visited?,尼爾遜上將的旗艦“勝利號”可在哪裡參觀？,Plymouth | Portsmouth | Bristol | Liverpool,普利茅斯 | 樸茨茅斯 | 布里斯托 | 利物浦,1
19,Set A - Ch3 History,What did the 1807 Act concerning slavery do in the British Empire?,1807年與奴隸制度相關的法案在大英帝國中產生了什麼影響？,Abolished slavery in all territories | Abolished the slave trade in British ships and ports | Gave slaves the vote | Created new colonies,廢除所有領土的奴隸制 | 禁止英國船隻與港口的奴隸貿易 | 給予奴隸投票權 | 建立新殖民地,1
20,Set A - Ch3 History,Which Prime Minister led Britain during most of WWII and was known for inspirational speeches?,哪位首相在二戰大部分時間領導英國，並以鼓舞人心的演說聞名？,Neville Chamberlain | Winston Churchill | Clement Attlee | Harold Macmillan,張伯倫 | 溫斯頓·丘吉爾 | 克萊門特·艾德禮 | 哈羅德·麥克米倫,1
21,Set A - Ch4 Society,Which creation in 1948 guaranteed healthcare free at the point of use?,1948年成立、保證就醫時免費的是什麼機構？,BBC | NHS | NATO | WTO,英國廣播公司 | 國民保健服務（NHS） | 北約 | 世界貿易組織,1
22,Set A - Ch3 History,What is ‘D‑Day’ commonly used to describe?,“諾曼第登陸日（D-Day）”通常用來描述什麼事件？,Germany’s invasion of Poland | Allied landings in Normandy in 1944 | The Blitz on London | The end of WWI,德軍入侵波蘭 | 1944年盟軍在諾曼第登陸 | 德軍對倫敦的閃電戰 | 一戰結束,1
23,Set A - Ch2 UK,What does ‘Great Britain’ refer to?,“大不列顛”指的是什麼？,"England, Wales, Scotland | The whole UK | The British Isles | England and Wales only",英格蘭、威爾士與蘇格蘭 | 整個英國 | 不列顛群島 | 僅英格蘭與威爾士,0
24,Set A - Ch1 Values,Which right is part of living in the UK?,在英國生活擁有哪些權利之一？,Right to a fair trial | Right to ignore taxes | Right to vote at 14 | Right to compulsory jury service for visitors,公平審判的權利 | 忽視納稅的權利 | 14歲投票權 | 旅客必須擔任陪審員的權利,0
25,Set B - Ch3 History,Who wrote The Canterbury Tales?,誰寫了《坎特伯里故事集》？,William Shakespeare | Geoffrey Chaucer | John Milton | Daniel Defoe,威廉·莎士比亞 | 喬叟 | 約翰·彌爾頓 | 丹尼爾·笛福,1
26,Set B - Ch3 History,What was a major result of the Black Death on society?,黑死病對社會的一項主要影響是什麼？,Stronger monarchy | Labour shortages and rising wages | End of Parliament | Expansion of the Roman Empire,君權更強 | 勞動力短缺與工資上升 | 議會終結 | 羅馬帝國擴張,1
27,Set B - Ch3 History,What is the Union Flag commonly called?,英國國旗通常被稱為什麼？,St George’s Cross | Union Jack | Saltire | Tricolour,聖喬治十字 | 米字旗 | 斜十字旗 | 三色旗,1
28,Set B - Ch3 History,Which act in 1707 created the Kingdom of Great Britain?,1707年的哪一法案創建了“大不列顛王國”？,Bill of Rights | Act of Union | Reform Act | Parliament Act,《權利法案》 | 《聯合法案》 | 《改革法案》 | 《議會法》,1
29,Set B - Ch3 History,What industry development did the Bessemer process enable?,貝塞麥轉爐法促進了哪個產業的發展？,Textile looms | Mass production of steel and shipbuilding/railways | Printing | Agriculture,紡織機 | 鋼鐵大量生產與造船/鐵路 | 印刷 | 農業,1
30,Set B - Ch3 History,Who pioneered modern nursing after work in the Crimean War?,在克里米亞戰爭後開創現代護理的是誰？,Mary Peters | Florence Nightingale | Emmeline Pankhurst | Mary Seacole,瑪麗·彼得斯 | 弗羅倫斯·南丁格爾 | 愛米琳·潘克赫斯特 | 瑪麗·西科爾,1
31,Set B - Ch3 History,Which Prime Minister’s government created the NHS in 1948?,哪位首相領導的政府於1948年建立了NHS？,Clement Attlee | Winston Churchill | Harold Macmillan | Margaret Thatcher,克萊門特·艾德禮 | 溫斯頓·丘吉爾 | 哈羅德·麥克米倫 | 瑪格麗特·戴卓爾,0
32,Set B - Ch3 History,What was the ‘Blitz’?,“閃電戰”（Blitz）是什麼？,German night-time bombing of UK cities in WWII | Allied landings in Italy | British naval blockade | A WWI trench tactic,二戰期間德軍對英國城市的夜間轟炸 | 盟軍登陸義大利 | 英國的海軍封鎖 | 一戰的壕溝戰術,0
33,Set B - Ch3 History,Which invention is Alan Turing associated with conceptually?,艾倫·圖靈概念上與哪項發明相關？,"Jet engine | Turing machine, foundation of modern computing | Hovercraft | MRI scanner",噴射發動機 | 圖靈機，現代計算的基礎 | 氣墊船 | 核磁共振掃描儀,1
34,Set B - Ch3 History,What is the Good Friday Agreement mainly associated with?,《耶穌受難日協議》主要與哪一地區有關？,Scottish devolution | Ending large-scale violence in Northern Ireland | Joining the EU | Creating the NHS,蘇格蘭權力下放 | 緩解北愛爾蘭的大規模暴力 | 加入歐盟 | 建立NHS,1
35,Set B - Ch5 Government,Which statement is true about the UK Parliament?,以下哪項關於英國議會的敘述正確？,It sits in Westminster | It is in Cardiff | It is elected every month | It has only one chamber,位於威斯敏斯特 | 位於加的夫 | 每月選舉一次 | 只有一個院,0
36,Set B - Ch3 History,Who developed the first practical jet engine in Britain?,誰在英國研製了第一個實用噴射發動機？,Sir Frank Whittle | Sir Robert Watson‑Watt | Sir Peter Mansfield | James Goodfellow,法蘭克·惠特爾 | 羅伯特·華生‑瓦特 | 彼得·曼斯菲爾德 | 詹姆斯·古德費洛,0
37,Set B - Ch3 History,Which conflict featured the Battle of the Somme?,哪場衝突中出現了索姆河戰役？,The Second World War | The First World War | The Crimean War | The Boer War,第二次世界大戰 | 第一次世界大戰 | 克里米亞戰爭 | 布爾戰爭,1
38,Set B - Ch3 History,Which two UK pop groups became world famous in the 1960s?,1960年代哪兩支英國樂隊享譽世界？,The Beatles and The Rolling Stones | Oasis and Blur | The Kinks and ABBA | Queen and U2,披頭四與滾石樂隊 | 綠洲與布勒 | 奇想與ABBA | 皇后樂隊與U2,0
39,Set B - Ch3 History,Which 1833 Act abolished slavery throughout the British Empire?,哪一部1833年的法案廢除了整個大英帝國的奴隸制度？,The Emancipation Act | The Reform Act | The Education Act | The Parliament Act,《解放法案》 | 《改革法案》 | 《教育法》 | 《議會法》,0
40,Set B - Ch3 History,Who was the first to split the atom in work that later linked to the Manhattan Project?,誰率先“劈裂原子”，其研究後來與曼哈頓計畫相關？,Ernest Rutherford and colleagues | Alexander Fleming | John Logie Baird | Tim Berners‑Lee,拉塞福與同事 | 亞歷山大·弗萊明 | 約翰·洛吉·貝爾德 | 提姆·伯納斯‑李,0
41,Set B - Ch4 Society,Which phrase describes post‑war UK reconstruction labour needs?,哪句話描述了戰後英國重建的人力需求？,There was a surplus of labour | There were labour shortages | All work was automated | Only soldiers were hired,勞動力過剩 | 勞動力短缺 | 工作全自動化 | 只雇用軍人,1
42,Set B - Ch3 History,Which speech about decolonisation is associated with Harold Macmillan?,哪篇關於去殖民化的演說與麥克米倫相關？,The Wind of Change speech | The Iron Curtain speech | The Rivers of Blood speech | The Tryst with Destiny speech,《變革之風》演說 | 《鐵幕》演說 | 《血之河》演說 | 《與命運的約會》演說,0
43,Set B - Ch3 History,Which 1960s technological progress was jointly developed by Britain and France?,1960年代由英國與法國共同研發的技術進步是？,The internet | Concorde supersonic airliner | MRI | Hovercraft,互聯網 | 超音速客機“協和號” | 核磁共振 | 氣墊船,1
44,Set B - Ch5 Government,Which of these is true about jury service?,關於陪審服務，以下哪項正確？,All visitors must serve | Eligible citizens may be called to serve | Only MPs can serve | It is illegal in the UK,所有旅客必須擔任 | 符合資格的公民可能被召喚 | 只有國會議員可擔任 | 英國禁止陪審制度,1
45,Set B - Ch3 History,Who invented the television system that enabled the first London–Glasgow broadcast in 1932?,誰發展出電視系統，促成1932年倫敦至格拉斯哥的首次電視傳送？,John Logie Baird | Guglielmo Marconi | James Clerk Maxwell | Thomas Edison,約翰·洛吉·貝爾德 | 馬可尼 | 馬克士威 | 愛迪生,0
46,Set B - Ch3 History,Who is celebrated as the inventor of the World Wide Web?,誰被譽為萬維網的發明者？,Bill Gates | Steve Jobs | Sir Tim Berners‑Lee | Linus Torvalds,比爾·蓋茲 | 史蒂夫·喬布斯 | 提姆·伯納斯‑李 | 李納斯·托瓦茲,2
47,Set B - Ch3 History,What was a social change for women in the 1960s mentioned in the handbook?,手冊中提及的1960年代女性社會變化之一是？,Loss of property rights | Equal pay laws and anti‑discrimination | Ban from universities | Loss of voting rights,喪失財產權 | 同工同酬與反歧視法律 | 禁止上大學 | 失去投票權,1
48,Set B - Ch3 History,Which battle is linked to the phrase ‘the Dunkirk spirit’?,哪個事件與“敦刻爾克精神”這一說法相關？,Evacuation of troops from France in 1940 | Battle of Trafalgar | Battle of Waterloo | Battle of the Somme,1940年從法國撤離部隊 | 特拉法加海戰 | 滑鐵盧戰役 | 索姆河戰役,0
49,Set C - Ch1 Values,Which statement best describes ‘the rule of law’?,以下哪句最能描述“法治”？,"The government is above the law | Everyone, including the government, is subject to the law | Only judges follow the law | Laws apply only to citizens",政府高於法律 | 包括政府在內的所有人都受法律約束 | 只有法官需遵守法律 | 法律只適用於公民,1
50,Set C - Ch1 Values,Which of these is a way to participate in community life?,下列哪項是參與社區生活的方式？,Ignoring local issues | Volunteering and helping neighbours | Only paying taxes | Moving house often,忽視地方事務 | 做義工、幫助鄰里 | 只需納稅 | 經常搬家,1
51,Set C - Ch2 UK,Which statement about British Overseas Territories is correct?,以下關於英國海外領地的陳述何者正確？,They are part of the UK | They are linked to the UK but not part of it | They are EU member states | They are Crown dependencies,它們是英國本土的一部分 | 與英國有聯繫但不屬於英國 | 它們是歐盟成員國 | 它們是王室屬地,1
52,Set C - Ch3 History,Who led the Scottish forces to victory at Bannockburn?,誰在班諾克本戰役中率領蘇格蘭軍隊取勝？,Robert the Bruce | William Wallace | Oliver Cromwell | Bonnie Prince Charlie,羅伯特·布魯斯 | 威廉·華勒斯 | 奧利佛·克倫威爾 | 邦妮王子查理,0
